iter	RMSE
188	1.097817101
189	1.088147286
190	1.087766006
191	1.082220755
192	1.077756161
193	1.072399705
194	1.067111868
195	1.066097573
196	1.059911064
197	1.055340814
198	1.051635939
199	1.046758581
200	1.045283597
201	1.038710909
202	1.033750155
203	1.028238582
204	1.024096139
205	1.018629322
206	1.016668263
207	1.013503356
208	1.008516947
209	1.002965995
210	0.9943851713
211	0.9929911571
212	0.9866071218
213	0.9862604223
214	0.9814015968
215	0.9810381814
216	0.9798412809
217	0.9777823765
218	0.9737157517
219	0.9695898332
220	0.966014139
221	0.9624231761
222	0.9591290526
223	0.9551277987
224	0.9512804508
225	0.9501563832
226	0.9491527677
227	0.9462227182
228	0.9441731447
229	0.9417415555
230	0.9361828503
231	0.9312925278
232	0.9294852256
233	0.9279557239
234	0.9219540342
235	0.919922219
236	0.9157745456
237	0.9145747311
238	0.9102305457
239	0.9042333231
240	0.8991371034
241	0.898789472
242	0.8969888519
243	0.894889651
244	0.8922236089
245	0.888302529
246	0.8867650785
247	0.8840297746
248	0.8837471451
249	0.8832764729
250	0.8782668192
251	0.8777859366
252	0.8757098924
253	0.8730125821
254	0.8726543384
255	0.8677949748
256	0.8647093563
257	0.8639491565
258	0.8612562189
259	0.860319879
260	0.8589124288
261	0.855742631
262	0.8535484054
263	0.8530005808
264	0.8489647704
265	0.8431930566
266	0.8419601023
267	0.8400362984
268	0.8378624263
269	0.8376661566
270	0.8358530744
271	0.833668416
272	0.8313906012
273	0.8277424588
274	0.823521805
275	0.8223897703
276	0.8212048069
277	0.8206885807
278	0.8184764357
279	0.816689653
280	0.8130886923
281	0.8103006751
282	0.8099281066
283	0.808336442
284	0.8073330666
285	0.8058561164
286	0.803887794
287	0.8019523792
288	0.7993387671
289	0.7963973833
290	0.7948677924
291	0.7935488868
292	0.7920965695
293	0.7913424955
294	0.7896951419
295	0.785344175
296	0.7851289309
297	0.7825363775
298	0.7793475517
299	0.7781485319
300	0.7762225328
301	0.7746678921
302	0.7721832876
303	0.7709778158
304	0.7708431354
305	0.7705723341
306	0.769049073
307	0.76564462
308	0.7627457009
309	0.7615430558
310	0.7593326274
311	0.7574043487
312	0.7558065219
313	0.7548325823
314	0.7531375764
315	0.7518315414
316	0.748928387
317	0.7484506132
318	0.7465830192
319	0.7460319842
320	0.7456099922
321	0.7432039376
322	0.7417613276
323	0.7416530174
324	0.7389160386
325	0.7364973689
326	0.7364326014
327	0.7343968711
328	0.7324371678
329	0.7304282487
330	0.7300779062
331	0.7278527442
332	0.7260253024
333	0.7245464858
334	0.7225681523
335	0.7220522741
336	0.7198928255
337	0.718291606
338	0.7160050984
339	0.7142691057
340	0.7132613303
341	0.7099519269
342	0.7091856225
343	0.7085291363
344	0.705702972
345	0.7033161576
346	0.7017398867
347	0.6984104622
348	0.6972583697
349	0.6966823891
350	0.6957290462
351	0.6942506038
352	0.6929491957
353	0.6897643728
354	0.6894220644
355	0.6883906987
356	0.6861183872
357	0.6848861513
358	0.6820831043
359	0.6813436818
360	0.6796433123
361	0.6789159552
362	0.6782826551
363	0.6779690707
364	0.6760521409
365	0.6746482583
366	0.6735237529
367	0.6730780685
368	0.6720717976
369	0.6713059833
370	0.6701770401
371	0.6693067293
372	0.6689774065
373	0.6671050813
374	0.6658849561
375	0.6654746252
376	0.6644058849
377	0.6627892265
378	0.6611836073
379	0.6596767753
380	0.6595528705
381	0.6590451171
382	0.6567716158
383	0.6563428305
384	0.6552861613
385	0.6533600691
386	0.6524216561
387	0.6522798945
388	0.6502769939
389	0.6493736808
390	0.6487681717
391	0.6479168274
392	0.6466996472
393	0.6447864516
394	0.6441813833
395	0.6432808789
396	0.642337199
397	0.6404629472
398	0.6391797373
399	0.6381016046
400	0.6370510594
401	0.635717445
402	0.6340766111
403	0.6338042511
404	0.6331405427
405	0.6329911255
406	0.6320731004
407	0.630954344
408	0.6301159009
409	0.6288339923
410	0.627886111
411	0.6273698657
412	0.62563315
413	0.6247320645
414	0.6235857446
415	0.622589691
416	0.6211886726
417	0.620152779
418	0.6189652206
419	0.6183179646
420	0.6174301706
421	0.6157554724
422	0.6145259432
423	0.6132541226
424	0.6122075274
425	0.6114355499
426	0.6104236359
427	0.6103234537
428	0.6085433086
429	0.6071809594
430	0.6064539509
431	0.6062721285
432	0.6061628645
433	0.6054727951
434	0.6042486471
435	0.6034388856
436	0.6021332704
437	0.6010227743
438	0.600670613
439	0.5996303873
440	0.5988726021
441	0.5985017894
442	0.5977204012
443	0.5975138447
444	0.595515069
445	0.5952074501
446	0.5946020521
447	0.5940155826
448	0.5932787769
449	0.5923695525
450	0.5919095093
451	0.5910175388
452	0.5895488555
453	0.5884864093
454	0.5877901359
455	0.5871112375
456	0.5866534792
457	0.5859335878
458	0.5847103935
459	0.5843274402
460	0.583718064
461	0.5834259625
462	0.5831169402
463	0.5825572515
464	0.581277017
465	0.580431039
466	0.5802351766
467	0.5791239939
468	0.5782691246
469	0.5778040288
470	0.5777625926
471	0.5768700667
472	0.5763112502
473	0.575398295
474	0.5751251537
475	0.5749280912
476	0.5739121277
477	0.5729860499
478	0.5718673494
479	0.5711345016
480	0.5703211315
481	0.5697447208
482	0.5687423133
483	0.5681137525
484	0.5674394316
485	0.5669717568
486	0.5662701059
487	0.5659021698
488	0.5652662749
489	0.5639010396
490	0.5629923928
491	0.5621764821
492	0.5619574063
493	0.561297023
494	0.5611686335
495	0.5605526998
496	0.5603125953
497	0.5589980448
498	0.5582531957
499	0.5579353915
500	0.5578371444
501	0.5574974227
502	0.5566967609
503	0.5557426935
504	0.5553869383
505	0.5549269479
506	0.5543958507
507	0.5535829307
508	0.5524209766
509	0.551805948
510	0.5513225729
511	0.5512188785
512	0.5510929025
513	0.5507458303
514	0.5505418894
515	0.5503898405
